Title,Label
"The Trump administration ""added more to the national debt than any presidential term in American history.",1
“We cut the federal deficit by $160 billion because Medicare will no longer have to pay those exorbitant prices to Big Pharma.”,1
"A new Missouri bill “would put teachers on the sex offense registry if they ‘contribute to social transition’” of transgender students, including by using gender-affirming pronouns.",1
"We’ve already cut the federal deficit by over $1 trillion.",1
"“Since May of last year, we have removed or returned more individuals than in any year since 2015.”",1
President Joe Biden “bans TikTok for government employees but creates an account for his own campaign.”,1
“This is the era where people are given smartphones when they cross the border and enter our country.”,1
“We're having the largest classes of correctional officers we've ever had before.”,1
"If you went “anywhere in the world,” you could get a prescription filled for 40% to 60% less than it costs in the U.S.",1
“North Carolina has the longest voting period in the country … and we have the most ways of voting.”,1
"“We’ve seen an 800% increase in the Swanton sector, which is the part of the northern border that I represent, in illegal crossings.”",1
“Big drug companies charge as little as $7 for an inhaler overseas and nearly $500 for the exact same one here in the US.”,1
"“Each year, more than $1 billion is stolen from” workers in New York state through wage theft.",1
"“NYC will give $1,000 taxpayer-funded credit cards to migrants.”",1
"“TSA found with metal detectors nearly 7,000 firearms at airports last year — an all-time high.”",1
"“Bidenomics is costing the typical American household over $11,400 more a year to buy the basics.”",1
“Marijuana is currently classified in the same category of drugs as heroin and a more dangerous category than fentanyl or cocaine.”,1
"Says expanding Medicaid in Wisconsin would save the state $530 million, which could pay for 3,287 K-12 teachers, or 7.8 educators per district.",1
The Bipartisan Safer in Communities Act led to “a 12% reduction in urban homicides in this country.”,1
"Under Joe Biden, there are “record numbers of new Black entrepreneurs.”",1
Minnesota incarcerates “about a third of what Wisconsin does.”,1
Postpartum Medicaid coverage expanded from three states to 43 states because of the Biden administration.,1
“Inflation has been at the pre-pandemic level of 2% over the last half year.”,1
"“Wisconsin had over 1,400 opioid overdose deaths in 2022.”",1
"Under President Joe Biden, “Black unemployment is the lowest in American history.”",1
"(The) top issue for college students is the economy.",1
"“In April last year, our state unemployment rate hit a record low of 2.4%. Last year, Wisconsin had an all-time lowest number of unemployed workers ever in modern history.”",1
"“Today in America, 1 in 3 women of reproductive age live in a state with an abortion ban.”",1
"In the past year, Michigan, Minnesota and Illinois passed ""highly popular” policies such as paid family leave, one of several issues that have been stymied in Wisconsin by Republicans.",1
"“Tens of thousands of auto jobs were lost nationwide during Trump's presidency,” but during Biden’s presidency, “we've created more than 250,000 auto jobs.”",1
"Unfortunately during COVID, the clerks in Madison and Milwaukee told their constituents that they were actually indefinitely confined and did not have to come and vote, which was incorrect.",1
“Florida state government (has the) lowest number of state employees per capita in the country.”,1
