Title,Label
"In February alone, nearly 1 million jobs held by native-born Americans disappeared.",0
"Canada is passing a bill to essentially ban the idea of Christianity.”",0
“Al CDC sólo le tomó 4 AÑOS estar de acuerdo con ‘teóricos de la conspiración’ que dijeron en 2020 que: COVID es más o menos como la GRIPE”.,0
"The Trump administration ""added more to the national debt than any presidential term in American history.",1
“Mel Gibson just released a video that shows the satanic rituals which took place on Jeffrey Epstein’s island.”,0
A woman was “sex trafficked by the cartels starting at the age of 12 … We wouldn't be OK with this happening in a Third World country. This is the United States of America.”,0
"The stock market “hit an all-time high under President Biden and not under President Trump.",0
“We cut the federal deficit by $160 billion because Medicare will no longer have to pay those exorbitant prices to Big Pharma.”,1
"A new Missouri bill “would put teachers on the sex offense registry if they ‘contribute to social transition’” of transgender students, including by using gender-affirming pronouns.",1
"We’ve already cut the federal deficit by over $1 trillion.",1
"“Since May of last year, we have removed or returned more individuals than in any year since 2015.”",1
President Joe Biden “bans TikTok for government employees but creates an account for his own campaign.”,1
"We have technology and medical advancements today that can tell you if you are pregnant the day after conception.",0
“The CDC officially agrees with ‘conspiracy theorists’ from 2020” who wanted to treat COVID-19 like the flu.,0
"“Over 10 million people have come across the border with no vetting, no plan, and no path” during Biden’s presidency.",0
Billionaires “rigged” the California Senate primary election through “dishonest means.”,0
Video shows Kamala Harris saying Democrats would use taxpayer dollars to bribe voters.,0
“This is the era where people are given smartphones when they cross the border and enter our country.”,1
Video shows Oklahoma students “sucking on the toes of adults.”,0
The Biden administration seeks to end voter ID requirements to allow immigrants in the country illegally to vote.,0
“Eighty-two percent of the country understands that (the 2020 election) was a rigged election.”,0
Democrats don’t deport undocumented migrants “because every illegal is a highly likely vote at some point.”,0
The U.S. Code states that a person convicted of treason would be “taken by the posse to the nearest busy intersection and at high noon hung by the neck until dead.”,0
President Joe Biden was “rushed to hospital unexpectedly.”,0
“We're having the largest classes of correctional officers we've ever had before.”,1
Texas wildfires are a “deliberate” attack on U.S. food supply.,0
The Texas wildfires were started by directed energy weapons.,0
Texas petition to outlaw “aerosolized spraying” is evidence of chemtrails.,0
"There are less than two weeks until the deadline to register to vote in Wisconsin.",0
Setting on Apple’s new Journal app “lets anyone near you know your FULL NAME and EXACTLY where you’re geo-located.”,0
Michael Moore is supporting Trump in the 2024 election.,0
"If you went “anywhere in the world,” you could get a prescription filled for 40% to 60% less than it costs in the U.S.",1
